
------------------------------------------------------------------------------

tsLinesOfCode, v2.4.0 (build 07/31/2013)

  Author(s): Richard S. Gordon
  Copyright (c) 2007-2013 Richard S. Gordon.
		All rights reserved.
  GNU General Public License, Version 3, 29 June 2007

  Credits: 

	  tsLibCLI Import & Application Launch Features: 
	  Copyright (c) 2007-2009 Frederick A. Kier. 
			All rights reserved.

	  File Extension Features of SLOCCount 2.26: 
	  Copyright (c) 2001-2004 David A. Wheeler. 
			All rights reserved.

	  Algorithm Features of COCOMO(R) 81: 
	  Copyright (c) 1981 Dr. Barry W. Boehm. 
			All rights reserved.

	  Python Logging Module API Features: 
	  Copyright (c) 2001-2013 Python Software Foundation.
			All rights reserved.
	  PSF License Agreement for Python 2.7.3 & 3.3.0

------------------------------------------------------------------------------

		Individual Source Code Feature Statistics

    CODE    CMNTS    LINES    WORDS    CHARS PATH/FILE
     291      262      553     1391    16954 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDemoArchive/src/test_tsWxBoxSizer.py
     381      320      701     1740    22973 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDemoArchive/src/test_tsWxCheckBox.py
     317      302      619     1470    18936 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDemoArchive/src/test_tsWxDisplay.py
     429      217      646     1493    18562 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDemoArchive/src/test_tsWxDoubleLinkedList.py
      66      146      212      727     6496 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDemoArchive/src/test_tsWxGlobals.py
     937      558     1495     4295    59209 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDemoArchive/src/test_tsWxGraphicalTextUserInterface.py
     332      265      597     1517    19254 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDemoArchive/src/test_tsWxGridSizer.py
     302      410      712     2493    24698 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDemoArchive/src/test_tsWxMultiFrameEnv.py
     783      513     1296     3604    48403 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDemoArchive/src/test_tsWxRSM.py
     414      424      838     2048    27786 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDemoArchive/src/test_tsWxScrolledWindow.py
     344      546      890     2249    30060 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDemoArchive/src/test_tsWxScrolledWindowDual.py
     196     1054     1250     3190    40777 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDemoArchive/src/test_tsWxSplashScreen.py
     839      842     1681     4351    58883 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDemoArchive/src/test_tsWxWidgets.py
     477      472      949     3551    35109 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDemoArchive/src/tsCxGlobals.py
      93      342      435     1797    17008 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDemoArchive/src/tsLinesOfCodeProjectMetrics.py
     262      237      499     1346    16796 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDemoArchive/src/tsPlatformQuery.py
     653      658     1311     4360    46269 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDemoArchive/src/tsStripComments.py
     185      178      363      911    10695 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDemoArchive/src/tsStripLineNumbers.py
     130       95      225      599     6922 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDemoArchive/src/tsTreeCopy.py
     143      109      252      701     8191 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDemoArchive/src/tsTreeTrimLines.py
       0        0        0        0        0 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDemoArchive/src/__init__.py
       0      186      186      549     6494 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/README-tsDocCLI.txt
       0        0        0        0        0 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/__init__.py
       0      632      632     2279    22580 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/tsDocCLI-1-GettingStartedFiles/README-GettingStarted.txt
       0      192      192      495     5945 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/tsDocCLI-2-DistributionReadMeFiles/$README-InstallAndRedistribute.txt
       0      242      242      642     8127 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/tsDocCLI-2-DistributionReadMeFiles/AUTHORS.txt
       0      663      663     3134    25049 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/tsDocCLI-2-DistributionReadMeFiles/BUGS.txt
       0       60       60      226     2580 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/tsDocCLI-2-DistributionReadMeFiles/CHANGE_LOG.txt
       0      236      236     1034     9196 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/tsDocCLI-2-DistributionReadMeFiles/CONFIGURE.txt
       0       39       39      114     1469 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/tsDocCLI-2-DistributionReadMeFiles/COPYING.txt
       0      128      128      461     6018 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/tsDocCLI-2-DistributionReadMeFiles/CREDITS.txt
       0       84       84      460     4719 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/tsDocCLI-2-DistributionReadMeFiles/FAQ.txt
       0      473      473     1732    17590 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/tsDocCLI-2-DistributionReadMeFiles/INSTALL.txt
       0       21       21       71      922 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/tsDocCLI-2-DistributionReadMeFiles/MANIFEST.txt
       0       24       24       80     1028 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/tsDocCLI-2-DistributionReadMeFiles/NEWS.txt
       0       21       21       72      921 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/tsDocCLI-2-DistributionReadMeFiles/OPERATE.txt
